surface,tourney_level,player_hand,player_ht,player_age,opponent_hand,opponent_ht,opponent_age,best_of,player_ace,player_df,player_svpt,player_1stIn,player_1stWon,player_2ndWon,player_SvGms,player_bpSaved,player_bpFaced,opponent_ace,opponent_df,opponent_svpt,opponent_1stIn,opponent_1stWon,opponent_2ndWon,opponent_SvGms,opponent_bpSaved,opponent_bpFaced,player_rank,opponent_rank,result
Hard,A,R,188.0,22.2,L,178.0,20.7,3,3.0,0.0,58.0,44.0,34.0,6.0,10.0,1.0,2.0,0.0,3.0,62.0,48.0,26.0,7.0,10.0,3.0,6.0,23.0,81.0,True
Hard,A,L,178.0,20.7,R,183.0,34.7,3,0.0,0.0,74.0,56.0,45.0,12.0,15.0,0.0,1.0,12.0,4.0,93.0,61.0,45.0,17.0,15.0,9.0,11.0,81.0,15.0,True
Hard,A,R,188.0,22.2,R,183.0,20.3,3,10.0,1.0,43.0,26.0,24.0,10.0,8.0,0.0,0.0,0.0,1.0,50.0,30.0,14.0,10.0,8.0,2.0,6.0,23.0,62.0,True
Hard,A,R,183.0,34.7,R,181.0,30.4,3,5.0,0.0,58.0,29.0,27.0,16.0,10.0,2.0,2.0,7.0,1.0,49.0,25.0,22.0,10.0,9.0,2.0,4.0,15.0,58.0,True
Hard,A,L,178.0,20.7,L,188.0,36.1,3,2.0,3.0,91.0,67.0,49.0,12.0,15.0,4.0,6.0,8.0,3.0,90.0,65.0,44.0,14.0,15.0,3.0,6.0,81.0,49.0,True
Hard,A,R,183.0,20.3,R,188.0,27.9,3,2.0,0.0,39.0,30.0,22.0,6.0,7.0,3.0,4.0,6.0,2.0,48.0,32.0,14.0,3.0,7.0,6.0,12.0,62.0,70.0,True
Hard,A,R,188.0,22.2,R,188.0,28.8,3,4.0,1.0,72.0,40.0,29.0,15.0,9.0,5.0,6.0,10.0,3.0,74.0,40.0,28.0,10.0,10.0,4.0,8.0,23.0,65.0,True
Hard,A,R,183.0,34.7,R,188.0,32.8,3,12.0,1.0,61.0,35.0,27.0,15.0,10.0,6.0,7.0,1.0,3.0,64.0,40.0,27.0,11.0,9.0,6.0,9.0,15.0,54.0,True
Hard,A,R,181.0,30.4,R,196.0,22.5,3,5.0,3.0,67.0,35.0,27.0,21.0,11.0,1.0,1.0,10.0,4.0,66.0,41.0,32.0,11.0,10.0,4.0,6.0,58.0,55.0,True
Hard,A,L,178.0,20.7,R,196.0,29.0,3,2.0,3.0,92.0,68.0,48.0,15.0,12.0,2.0,3.0,14.0,5.0,75.0,41.0,33.0,19.0,12.0,2.0,3.0,81.0,32.0,True
Hard,A,L,188.0,36.1,R,185.0,27.8,3,17.0,3.0,89.0,60.0,46.0,14.0,14.0,3.0,4.0,2.0,3.0,99.0,76.0,48.0,9.0,14.0,15.0,19.0,49.0,40.0,True
Hard,A,R,188.0,27.9,R,185.0,24.3,3,3.0,0.0,52.0,39.0,28.0,7.0,9.0,3.0,4.0,1.0,3.0,46.0,28.0,15.0,9.0,8.0,4.0,8.0,70.0,279.0,True
Hard,A,R,183.0,20.3,R,188.0,34.7,3,9.0,4.0,62.0,38.0,34.0,13.0,10.0,0.0,0.0,2.0,1.0,57.0,40.0,28.0,8.0,9.0,1.0,3.0,62.0,30.0,True
Hard,A,R,188.0,28.8,R,188.0,24.5,3,4.0,1.0,47.0,33.0,25.0,6.0,8.0,0.0,1.0,2.0,2.0,47.0,32.0,17.0,6.0,8.0,2.0,7.0,65.0,39.0,True
Hard,A,R,188.0,22.2,R,183.0,32.0,3,4.0,1.0,56.0,34.0,28.0,9.0,9.0,1.0,2.0,1.0,0.0,48.0,27.0,16.0,12.0,9.0,5.0,9.0,23.0,66.0,True
Hard,A,R,188.0,32.8,R,183.0,25.8,3,9.0,3.0,85.0,54.0,40.0,21.0,14.0,6.0,7.0,9.0,1.0,87.0,64.0,44.0,12.0,13.0,5.0,7.0,54.0,83.0,True
Hard,A,R,181.0,30.4,R,183.0,21.3,3,8.0,0.0,78.0,45.0,30.0,21.0,14.0,1.0,3.0,3.0,4.0,83.0,57.0,35.0,18.0,14.0,2.0,5.0,58.0,76.0,True
Hard,A,R,196.0,22.5,L,183.0,31.5,3,10.0,6.0,62.0,41.0,31.0,10.0,10.0,3.0,4.0,1.0,2.0,48.0,28.0,17.0,12.0,9.0,2.0,5.0,55.0,43.0,True
Hard,A,L,178.0,20.7,R,188.0,28.4,3,2.0,2.0,69.0,57.0,48.0,6.0,11.0,7.0,7.0,7.0,0.0,70.0,52.0,38.0,8.0,11.0,2.0,3.0,81.0,68.0,True
Hard,A,L,188.0,36.1,R,180.0,33.9,3,6.0,0.0,55.0,35.0,30.0,11.0,10.0,0.0,0.0,3.0,1.0,67.0,46.0,31.0,9.0,9.0,3.0,5.0,49.0,64.0,True
Hard,A,R,185.0,27.8,R,188.0,24.9,3,6.0,2.0,105.0,74.0,43.0,15.0,14.0,8.0,13.0,6.0,2.0,93.0,62.0,33.0,14.0,14.0,7.0,14.0,40.0,69.0,True
Hard,A,R,188.0,27.9,R,188.0,21.9,3,8.0,3.0,110.0,68.0,45.0,19.0,15.0,7.0,10.0,2.0,1.0,101.0,68.0,42.0,18.0,15.0,7.0,11.0,70.0,47.0,True
Hard,A,R,185.0,24.3,R,175.0,29.5,3,11.0,1.0,92.0,59.0,42.0,17.0,13.0,4.0,5.0,3.0,3.0,84.0,53.0,35.0,16.0,13.0,5.0,9.0,279.0,67.0,True
Hard,A,R,183.0,20.3,R,183.0,25.7,3,0.0,1.0,57.0,31.0,23.0,17.0,9.0,0.0,0.0,4.0,1.0,66.0,40.0,26.0,9.0,9.0,7.0,10.0,62.0,63.0,True
Hard,A,R,188.0,24.5,R,191.0,24.6,3,5.0,2.0,73.0,48.0,33.0,14.0,12.0,4.0,7.0,5.0,3.0,75.0,47.0,28.0,10.0,12.0,4.0,10.0,39.0,51.0,True
Hard,A,R,188.0,28.8,R,185.0,27.2,3,6.0,2.0,51.0,30.0,26.0,12.0,10.0,0.0,1.0,2.0,1.0,59.0,32.0,20.0,13.0,9.0,4.0,7.0,65.0,75.0,True
Hard,A,R,183.0,32.0,R,185.0,35.9,3,7.0,0.0,51.0,33.0,22.0,12.0,7.0,3.0,3.0,3.0,2.0,44.0,23.0,9.0,10.0,8.0,4.0,9.0,66.0,229.0,True
Hard,A,R,188.0,22.2,R,193.0,22.8,3,4.0,1.0,49.0,27.0,22.0,13.0,8.0,4.0,4.0,8.0,1.0,43.0,28.0,14.0,6.0,7.0,1.0,5.0,18.0,91.0,True
Hard,A,R,193.0,22.8,R,185.0,22.6,3,13.0,3.0,89.0,54.0,46.0,16.0,16.0,2.0,4.0,4.0,3.0,100.0,58.0,37.0,22.0,15.0,3.0,7.0,91.0,90.0,True
Hard,A,R,188.0,22.2,R,193.0,19.4,3,10.0,6.0,126.0,75.0,56.0,30.0,17.0,9.0,10.0,19.0,3.0,127.0,78.0,60.0,24.0,17.0,8.0,10.0,18.0,22.0,True
Hard,A,R,185.0,22.6,L,188.0,31.9,3,9.0,4.0,53.0,31.0,26.0,16.0,10.0,0.0,0.0,4.0,2.0,56.0,32.0,21.0,13.0,9.0,2.0,4.0,90.0,42.0,True
Hard,A,R,193.0,22.8,R,188.0,28.5,3,13.0,3.0,44.0,32.0,28.0,9.0,9.0,0.0,0.0,1.0,2.0,60.0,39.0,25.0,9.0,9.0,6.0,9.0,91.0,30.0,True
